COUNTY,WARD,ZONE,PROJECT_NAME,STATUS,DATE,OBJECTID
Kisumu,Central Seme,Riat Mireri market,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,24
Kisumu,Kabonyokanyagwal,Nyang�ande market ,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,25
Kisumu,SE-Nyakach,Bodi market ,Construction of 15m High mast flood lights,100 % Complete under defect liability period,May-31-2016,26
Kisumu,Kajulu ,Wathorego market ,Construction of 15m High mast flood lights,100 % Complete under defect liability period,May-31-2016,27
Kisumu,Muhoroni/Koru,Koru market,Construction of 15m High mast flood lights,100 % Complete under defect liability period,May-31-2016,28
Kisumu,North Seme,Onyinjo Dispensary ,Construction of 15m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,29
Kisumu,Ombeyi,Ombeyi market,Construction of 15m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,30
Kisumu,Railways ,Ragumo,Installation of Service line,100 % Complete,May-31-2016,31
Kisumu,Railways ,Kanyakwar Community Hall,Installation of Service line,100 % Complete,May-31-2016,32
Kisumu,All Wards,Country Wide,Supply of solar lanterns (800 No.) Operation Nyang�ile Out,Distribution on going in all the Sub-County,May-31-2016,33
Kisumu,All Wards,Country Wide,Supply of solar lanterns (210 No.) Operation Nyang�ile Out,Distribution on going in all the Sub-County,May-31-2016,34
Kisumu,All Wards,Country Wide,Supply of solar lanterns (350 No.) Operation Nyang�ile Out,Delivered awaiting distribution,May-31-2016,35
Kisumu,All Wards,Country Wide,County Energy Master Plan,On-going 40% Complete,May-31-2016,36
Kisumu,Central Seme,Kombewa District Hospital,County Energy Auditing ,100 % Complete,May-31-2016,37
Kisumu,All Wards,Country Wide,Preparation of a County Energy & Mining Strategic Plan.,100 % Complete,May-31-2016,38
Kisumu,SE-Nyakach,Nyakach sub counties ,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,39
Kisumu,East Kano wawidhi,Nyando  sub counties,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,40
Kisumu,West Kisumu,Kisumu West sub counties  ,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,41
Kisumu,North West-Kisumu,Kisumu West sub counties  ,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,42
Kisumu,Kajulu,Kisumu East sub counties ,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,43
Kisumu,Central Seme,Seme sub counties,"Supply, training and delivery of Brick making machines",100 % Complete,May-31-2016,44
Kisumu,Central Seme,Seme sub counties ,Development of brick making centres ,100 % Complete,May-31-2016,45
Kisumu,East Kano wawidhi,Nyando  sub counties,Development of brick making centres ,100 % Complete,May-31-2016,46
Kisumu,South East-Nyakach,Nyakach sub counties,Development of brick making centres ,100 % Complete,May-31-2016,47
