County,Sub_County,Zone,School,No_of_Devices,FID
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,KIPNYUNGUNY,15,85
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,BOIN,16,86
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPSOGO,12,87
BARINGO COUNTY,BARINGO NORTH,MAREGUT,KUI-KUI,85,88
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,CHEBIREBEI,11,89
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KABIYEWO,15,90
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,LOBERER,35,91
BARINGO COUNTY,KOIBATEK,SEGUTON,TARIGO,31,92
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,MBECHOT,34,93
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,MAOI DAY AND BOARDING,34,94
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,NGOLBELON,13,95
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,NG'AMBO,29,96
BARINGO COUNTY,MOGOTIO,SIRWA,CHEMORGONG,24,97
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,SANDAI,30,98
BARINGO COUNTY,MOGOTIO,SIRWA,KAPKEIN,27,99
BARINGO COUNTY,MOGOTIO,SIRWA,KAPLAIMOI,24,100
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,KAPTOMBES,21,101
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,KAPRONGUNO,26,102
BARINGO COUNTY,MOGOTIO,SIRWA,SORE,28,103
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,KAPKUIKUI,26,104
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,CHEBINYINY,27,105
BARINGO COUNTY,KOIBATEK,RAVINE,KAMELILO,80,106
BARINGO COUNTY,MOGOTIO,SIRWA,BENONGOI,17,107
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,KENEROI,30,108
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,KEON,11,109
BARINGO COUNTY,BARINGO CENTRAL,SACHO,KAPLEL DAY & BOARDING,29,110
BARINGO COUNTY,BARINGO CENTRAL,SACHO,TANDUI,28,111
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,MWENGE,20,112
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KAPCHEPKULEI,15,113
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,MOGOTIO,107,114
BARINGO COUNTY,BARINGO NORTH,MAREGUT,KINYACH,34,115
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KIPTILIT,21,116
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPROPITA,30,117
BARINGO COUNTY,BARINGO NORTH,MAREGUT,AYATYA,26,118
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,LOMBOGISHU,49,119
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,TIRIMIONIN,11,120
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,ROROBAI,13,121
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KURESCHUN,8,122
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,SABOR,17,123
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,MOLO-SIRWE,48,124
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,KELELWA,46,125
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KAMOTIONY,6,126
BARINGO COUNTY,BARINGO NORTH,MAREGUT,CHESANGICH,25,127
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPSOO,31,128
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KAMUNGEI,20,129
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,SAMBAKA,24,130
BARINGO COUNTY,BARINGO CENTRAL,SACHO,SIRWET,23,131
BARINGO COUNTY,BARINGO CENTRAL,TENGES,KASERET,22,132
BARINGO COUNTY,BARINGO NORTH,MAREGUT,MURTERIT,19,133
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,BIRINGWENY,2,134
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,SAGASAGIK,43,135
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KORIEMA,21,136
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,KIBOTANY,42,137
BARINGO COUNTY,KOIBATEK,RAVINE,KOIBATEK,119,138
BARINGO COUNTY,BARINGO NORTH,MAREGUT,TURBEI,17,139
BARINGO COUNTY,BARINGO CENTRAL,TENGES,SANGARAU,20,140
BARINGO COUNTY,BARINGO CENTRAL,TENGES,SOROK,15,141
BARINGO COUNTY,BARINGO NORTH,MAREGUT,KOMBOSANG,15,142
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,RABAI,23,143
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,KIRIM,18,144
BARINGO COUNTY,BARINGO CENTRAL,SACHO,LELGUT,22,145
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,PERKERRA,26,146
BARINGO COUNTY,BARINGO CENTRAL,SACHO,KIPKUTUNY,17,147
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,KASIELA B,25,148
BARINGO COUNTY,BARINGO NORTH,MAREGUT,MARAMAR,13,149
BARINGO COUNTY,BARINGO CENTRAL,TENGES,BUIWON,9,150
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,LOMANIRA,37,151
BARINGO COUNTY,KOIBATEK,RAVINE,MAJI MAZURI FOREST,106,152
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,LOLBUGO,36,153
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,KAPLUK,45,154
BARINGO COUNTY,BARINGO CENTRAL,TENGES,SERETON,10,155
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KOITEBES,39,156
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,LAKE KAMNOROK,41,157
BARINGO COUNTY,BARINGO CENTRAL,TENGES,tenges,57,158
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,KAPYEMIT,32,159
BARINGO COUNTY,KOIBATEK,RAVINE,ST. PATRCK'S SHIMONI,90,160
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,MUGUYUNI,30,161
BARINGO COUNTY,KOIBATEK,RAVINE,IGURE,70,162
BARINGO COUNTY,BARINGO CENTRAL,TENGES,SIGINWO,15,163
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,MUCHUKWO,33,164
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,TENDENBEI,33,165
BARINGO COUNTY,BARINGO CENTRAL,SACHO,OCHII,15,166
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,BOROKWO,13,167
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,KATIBEL,23,168
BARINGO COUNTY,KOIBATEK,RAVINE,KIBIAS,47,169
BARINGO COUNTY,BARINGO CENTRAL,TENGES,KAPKATIT,17,170
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,MAGOI,29,171
BARINGO COUNTY,BARINGO CENTRAL,SACHO,KAPLOTEN,15,172
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,YEMIT,35,173
BOMET COUNTY,KONOIN,CHEPTALAL,KITALA,110,174
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,CHEMOINOI,31,175
BARINGO COUNTY,BARINGO CENTRAL,SACHO,KESETAN,12,176
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOCHONGOI,SOKEE,35,177
BOMET COUNTY,KONOIN,CHEPTALAL,MURAMET,56,178
BOMET COUNTY,KONOIN,CHEPTALAL,TABOINO,53,179
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,BARSEMOI,23,180
BARINGO COUNTY,BARINGO CENTRAL,SACHO,CHEPLONGON,12,181
BARINGO COUNTY,BARINGO CENTRAL,SACHO,SIGOWO,11,182
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,ENDAO,26,183
BOMET COUNTY,KONOIN,CHEPTALAL,SATIET,62,184
BOMET COUNTY,KONOIN,CHEPTALAL,AREGERIOT,39,185
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KAPKOIBAI,10,186
BARINGO COUNTY,BARINGO CENTRAL,SACHO,KAISO,8,187
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,CHEMUTUNG,16,188
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,CHEPNYORGIN,11,189
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,OTERIT,51,190
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KAPLELWO,10,191
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KIMOSE,24,192
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,CHEMURA,22,193
BARINGO COUNTY,KOIBATEK,RAVINE,KIPKORIONY,46,194
BARINGO COUNTY,BARINGO CENTRAL,TENGES,KAMUMA,18,195
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,KIPTOIM,27,196
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KIPCHOBET,16,197
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,SALAWA,38,198
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KAPKUN,11,199
BOMET COUNTY,KONOIN,EMBOMOS,SOTIT,53,200
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KURES,27,201
BOMET COUNTY,KONOIN,EMBOMOS,KIRIMOSE,80,202
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,KIPSOIT,33,203
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KIMOROK,26,204
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,LELEN,17,205
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,KAPTARA,24,206
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MOGOSWOK,KOITILION,30,207
BOMET COUNTY,KONOIN,EMBOMOS,EMBOMOS,50,208
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,LETOI,26,209
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,LOMBALA,21,210
BARINGO COUNTY,KOIBATEK,RAVINE,SIMOTWET,45,211
BARINGO COUNTY,BARINGO CENTRAL,TENGES,MOGORWA,18,212
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,MAJI MOTO,22,213
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,KASIRMA,22,214
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,MOLOK,23,215
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,ROSONDONIN,20,216
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,NGUBERETI,19,217
BARINGO COUNTY,BARINGO CENTRAL,TENGES,TABARIN,18,218
BARINGO COUNTY,KOIBATEK,RAVINE,TOLMO,44,219
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,MUTARAN,20,220
BARINGO COUNTY,KOIBATEK,RAVINE,ELDAMA RAVINE BOARDING,39,221
BARINGO COUNTY,KOIBATEK,RAVINE,SAOS,36,222
BARINGO COUNTY,BARINGO CENTRAL,TENGES,EITUI,40,223
BARINGO COUNTY,MOGOTIO,SOI/MUGURIN,CHEMOGOCH,17,224
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,A.I.C KAPKARANI,19,225
BARINGO COUNTY,KOIBATEK,TORONGO,KAPSIGOT,49,226
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,SORTI,6,227
BARINGO COUNTY,BARINGO CENTRAL,TENGES,kisonei,39,228
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,Tenwek Mixed,27,229
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,KIPTAIWA,13,230
BOMET COUNTY,KONOIN,EMBOMOS,KIMARWANDI,44,231
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,KURUMBOPSOO,17,232
BARINGO COUNTY,BARINGO CENTRAL,TENGES,TINOMOI,27,233
BOMET COUNTY,SOTIK ,KIPSONOI ZONE,Chepkosiom,58,234
BARINGO COUNTY,BARINGO NORTH,MUCHUKWO,KIPTILINGON,12,235
BARINGO COUNTY,KOIBATEK,TORONGO,NERKWO,43,236
BARINGO COUNTY,KOIBATEK,RAVINE,MAJI MAZURI R.C,65,237
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KABOGOR,17,238
BARINGO COUNTY,KOIBATEK,TORONGO,MWACHON,42,239
BARINGO COUNTY,BARINGO NORTH,OSSEN,OSSEN,27,240
BOMET COUNTY,KONOIN ,CHEPTALAL ZONE,Bosto,59,241
BARINGO COUNTY,KOIBATEK,ESAGERI,KIPKABER,22,242
BARINGO COUNTY,BARINGO NORTH,OSSEN,SOGOM,19,243
BOMET COUNTY,BOMET ,KEMBU ZONE,Koibeiyon,78,244
BARINGO COUNTY,KOIBATEK,TORONGO,TORONGO,40,245
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,NATO,20,246
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,rosoga,24,247
BARINGO COUNTY,KOIBATEK,TORONGO,TINET,35,248
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,KIPRICHEIT,60,249
BARINGO COUNTY,BARINGO NORTH,OSSEN,TERMET,18,250
BARINGO COUNTY,KOIBATEK,KIPTOIM,KABIMOI D.E.B,21,251
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KAPCHELUKUNY,28,252
BARINGO COUNTY,KOIBATEK,KIPTOIM,KIMAMOI,18,253
BARINGO COUNTY,BARINGO NORTH,OSSEN,KILINGOT,16,254
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,KABARBESI,30,255
BOMET COUNTY,BOMET ,NDARAWETTA ZONE,KAPKIKORWET,52,256
BARINGO COUNTY,KOIBATEK,TORONGO,KIBARASOI,30,257
BARINGO COUNTY,KOIBATEK,TORONGO,SOIBEI,30,258
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,BOMET TOWNSHIP,75,259
BARINGO COUNTY,BARINGO NORTH,OSSEN,SEREMWO,13,260
BARINGO COUNTY,KOIBATEK,KIPTOIM,NGARIE MIXED DAY,12,261
BARINGO COUNTY,KOIBATEK,KIPTOIM,SAGAT,30,262
BARINGO COUNTY,BARINGO NORTH,OSSEN,NGEIWAN,7,263
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,KAPSIMBIRI,52,264
BARINGO COUNTY,KOIBATEK,TORONGO,TUGUMOI,18,265
BARINGO COUNTY,MARIGAT,MARIGAT,LATACHA,45,266
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,TENWEK DAY,67,267
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KASIBER,32,268
BARINGO COUNTY,KOIBATEK,KOIBATEK,KANJULUL,25,269
BARINGO COUNTY,MOGOTIO,EMINING/RADAD,SOSION,31,270
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,MAGONOI,14,271
BOMET COUNTY,SOTIK,ABOSI,KAPCHEMIBEI,80,272
BARINGO COUNTY,MOGOTIO,CHEBEREN,KAPLOGOS,11,273
BARINGO COUNTY,MARIGAT,MARIGAT,LONGEWAN,42,274
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,GOITABSILIBWET,65,275
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KASISIT,29,276
BARINGO COUNTY,KOIBATEK,KOIBATEK,KAPKITET,22,277
BOMET COUNTY,SOTIK,ABOSI,KIBIBO,38,278
BARINGO COUNTY,BARINGO CENTRAL,SALAWA,KAPYEMIT,5,279
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KASESYA,26,280
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,METIPSO,84,281
BARINGO COUNTY,MARIGAT,MARIGAT,LOROPIL,40,282
BARINGO COUNTY,MOGOTIO,CHEBEREN,KAPNGEMUI,13,283
BARINGO COUNTY,BARINGO CENTRAL,SENETWO,KAPTUMO,48,284
BOMET COUNTY,SOTIK,ABOSI,KAPLELACH,35,285
BARINGO COUNTY,MARIGAT,MARIGAT,MEISORI,40,286
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,ITEMBE,69,287
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,AIYEBO,25,288
BARINGO COUNTY,KOIBATEK,KOIBATEK,KILOMBE,20,289
BARINGO COUNTY,MOGOTIO,CHEBEREN,KAPTERIT,18,290
BOMET COUNTY,SOTIK,ABOSI,CHESAMBAI,45,291
BARINGO COUNTY,BARINGO CENTRAL,SENETWO,SOGON,31,292
BARINGO COUNTY,KOIBATEK,KOIBATEK,KOKWOMOI,17,293
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,KAPSOIYO,51,294
BARINGO COUNTY,MARIGAT,MOCHONGOI,KIBAGENGE,127,295
BARINGO COUNTY,MOGOTIO,CHEBEREN,TIAN,13,296
BARINGO COUNTY,MARIGAT,MOCHONGOI,TUIYOBEI,106,297
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,NJERIAN,52,298
BARINGO COUNTY,KOIBATEK,KOIBATEK,MANDINA,30,299
BARINGO COUNTY,BARINGO CENTRAL,SENETWO,SENETWO,25,300
BOMET COUNTY,SOTIK,ABOSI,GORGOR,42,301
BOMET COUNTY,BOMET ,BOMET TOWNSHIP ZONE,KAPSIMOTWA,38,302
BARINGO COUNTY,KOIBATEK,KOIBATEK,NAKURTAKWEI,32,303
BARINGO COUNTY,MARIGAT,MOCHONGOI,KABEL,84,304
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPKUT,40,305
BOMET COUNTY,SOTIK,ABOSI,KAPOLESOBEI,47,306
BARINGO COUNTY,BARINGO CENTRAL,SENETWO,KABIRMET,23,307
BARINGO COUNTY,MARIGAT,MOCHONGOI,KAMAILEL,79,308
BARINGO COUNTY,KOIBATEK,KOIBATEK,SABATIA FOREST,17,309
BOMET COUNTY,BOMET ,CHEMANER ZONE,CHEMANER,70,310
BARINGO COUNTY,BARINGO CENTRAL,SENETWO,TALAI,19,311
BOMET COUNTY,SOTIK,KAMUNGEI,KAMUNGEI,74,312
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPTIMBUR,72,313
BOMET COUNTY,BOMET ,CHEMANER ZONE,BUKUNYE,92,314
BARINGO COUNTY,KOIBATEK,KOIBATEK,KOKORWONIN,11,315
BARINGO COUNTY,MARIGAT,MOCHONGOI,KOIMUGUL,70,316
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPTOROKWO,39,317
BOMET COUNTY,SOTIK,KAMUNGEI,CHEBIRBELEK,51,318
BARINGO COUNTY,BARINGO NORTH,BARWESSA,BARWESSA,56,319
BARINGO COUNTY,MARIGAT,MOCHONGOI,KIMORIOT,56,320
BOMET COUNTY,BOMET ,CHEMANER ZONE,KIMUCHUL,81,321
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KIBOI,38,322
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KONOO,41,323
BOMET COUNTY,BOMET ,CHEMANER ZONE,KIPKOLIGO,77,324
BOMET COUNTY,SOTIK,KAMUNGEI,SIRONET,45,325
BARINGO COUNTY,MARIGAT,MOCHONGOI,NGARIE,56,326
BARINGO COUNTY,MARIGAT,MOCHONGOI,SINONI,52,327
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,CHENIT,54,328
BARINGO COUNTY,BARINGO CENTRAL,KABASIS,BOSIN,35,329
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KETURWO,40,330
BOMET COUNTY,SOTIK,KAMUNGEI,KAPCHERIRE,55,331
BARINGO COUNTY,BARINGO CENTRAL,KABASIS,KABIRMOI,20,332
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,TILANGOK,61,333
BARINGO COUNTY,MARIGAT,MOCHONGOI,KARNEE,49,334
BOMET COUNTY,SOTIK,KAPLETUNDO,USWET,84,335
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KIPKOLONY,34,336
BARINGO COUNTY,BARINGO CENTRAL,KABASIS,KOYORUS,11,337
BARINGO COUNTY,MARIGAT,MOCHONGOI,NYIMBEI,49,338
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,CHEBUNYO,32,339
BARINGO COUNTY,BARINGO NORTH,BARWESSA,LIKWON,32,340
BOMET COUNTY,SOTIK,KAPLETUNDO,TOGOMIN,75,341
BARINGO COUNTY,BARINGO CENTRAL,KABASIS,SAIMET,10,342
BARINGO COUNTY,MARIGAT,MOCHONGOI,MOCHONGOI,46,343
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,SOGORORBEI,32,344
