,country,year,own_account,location_type,phone_access,household_size,respondent_age,gender,head_relation,marital_status,education_level,job_type
113,Kenya,2018,No,Urban,Yes,5.0,49.0,Female,Spouse,Married/Living together,Primary education,Self employed
114,Kenya,2018,No,Rural,No,8.0,72.0,Female,Parent,Widowed,No formal education,Remittance Dependent
115,Kenya,2018,No,Rural,Yes,4.0,18.0,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
116,Kenya,2018,No,Rural,Yes,2.0,21.0,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
117,Kenya,2018,No,Rural,Yes,9.0,52.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
118,Kenya,2018,Yes,Rural,Yes,4.0,55.0,Male,Child,Married/Living together,Secondary education,Farming and Fishing
119,Kenya,2018,No,Rural,Yes,5.0,35.0,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
120,Kenya,2018,No,Rural,Yes,6.0,38.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
121,Kenya,2018,No,Rural,Yes,6.0,19.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
122,Kenya,2018,Yes,Urban,Yes,7.0,53.0,Female,Head of Household,Married/Living together,Tertiary education,Self employed
123,Kenya,2018,No,Urban,No,2.0,17.0,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
124,Kenya,2018,No,Urban,Yes,5.0,29.0,Female,Head of Household,Married/Living together,Primary education,Informally employed
125,Kenya,2018,Yes,Rural,Yes,1.0,24.0,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
126,Kenya,2018,No,Urban,Yes,7.0,63.0,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
127,Kenya,2018,No,Urban,Yes,2.0,47.0,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
128,Kenya,2018,Yes,Urban,Yes,4.0,42.0,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
129,Kenya,2018,No,Rural,No,3.0,17.0,Male,Child,Single/Never Married,Secondary education,Informally employed
130,Kenya,2018,Yes,Rural,Yes,4.0,28.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
131,Kenya,2018,No,Urban,Yes,7.0,62.0,Male,Head of Household,Widowed,Primary education,Informally employed
132,Kenya,2018,No,Rural,Yes,2.0,52.0,Female,Head of Household,Widowed,Primary education,Informally employed
133,Kenya,2018,No,Rural,Yes,3.0,44.0,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
134,Kenya,2018,No,Urban,Yes,6.0,28.0,Female,Head of Household,Married/Living together,No formal education,Self employed
135,Kenya,2018,Yes,Urban,Yes,4.0,30.0,Female,Spouse,Married/Living together,Secondary education,Self employed
136,Kenya,2018,Yes,Urban,Yes,4.0,39.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
137,Kenya,2018,No,Urban,Yes,4.0,81.0,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
138,Kenya,2018,Yes,Rural,Yes,1.0,62.0,Female,Head of Household,Widowed,Primary education,Farming and Fishing
139,Kenya,2018,No,Urban,Yes,3.0,78.0,Male,Head of Household,Married/Living together,Primary education,Self employed
140,Kenya,2018,No,Urban,Yes,2.0,28.0,Female,Head of Household,Single/Never Married,Primary education,Self employed
141,Kenya,2018,No,Urban,Yes,4.0,28.0,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
142,Kenya,2018,No,Rural,Yes,5.0,39.0,Female,Head of Household,Widowed,Primary education,Farming and Fishing
143,Kenya,2018,No,Rural,Yes,8.0,42.0,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
144,Kenya,2018,No,Rural,No,6.0,17.0,Male,Child,Single/Never Married,Primary education,Remittance Dependent
145,Kenya,2018,No,Rural,Yes,6.0,50.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
146,Kenya,2018,No,Rural,Yes,4.0,25.0,Female,Spouse,Married/Living together,Primary education,Self employed
147,Kenya,2018,Yes,Urban,Yes,6.0,34.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
148,Kenya,2018,No,Rural,Yes,5.0,33.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
149,Kenya,2018,Yes,Urban,Yes,3.0,26.0,Female,Spouse,Married/Living together,Secondary education,Self employed
150,Kenya,2018,No,Rural,No,8.0,36.0,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
151,Kenya,2018,No,Rural,Yes,4.0,78.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
152,Kenya,2018,Yes,Rural,Yes,5.0,36.0,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
153,Kenya,2018,No,Urban,No,7.0,17.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
154,Kenya,2018,No,Urban,Yes,1.0,20.0,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
155,Kenya,2018,No,Rural,Yes,1.0,30.0,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
156,Kenya,2018,No,Rural,Yes,1.0,38.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
157,Kenya,2018,No,Rural,Yes,8.0,28.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
158,Kenya,2018,No,Rural,No,4.0,50.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
159,Kenya,2018,Yes,Urban,Yes,7.0,40.0,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
160,Kenya,2018,No,Urban,Yes,1.0,62.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
161,Kenya,2018,No,Rural,Yes,4.0,40.0,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
162,Kenya,2018,No,Rural,Yes,7.0,44.0,Male,Head of Household,Married/Living together,Primary education,Self employed
164,Kenya,2018,No,Rural,Yes,5.0,59.0,Female,Head of Household,Widowed,Primary education,Farming and Fishing
165,Kenya,2018,Yes,Urban,Yes,6.0,36.0,Female,Spouse,Married/Living together,Secondary education,Self employed
166,Kenya,2018,No,Rural,Yes,7.0,60.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
167,Kenya,2018,Yes,Rural,Yes,3.0,42.0,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
168,Kenya,2018,No,Rural,Yes,2.0,56.0,Female,Head of Household,Married/Living together,No formal education,Self employed
169,Kenya,2018,No,Urban,No,4.0,37.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
170,Kenya,2018,No,Rural,Yes,4.0,28.0,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
171,Kenya,2018,No,Rural,No,9.0,50.0,Female,Child,Single/Never Married,Primary education,Farming and Fishing
172,Kenya,2018,No,Urban,Yes,2.0,55.0,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
173,Kenya,2018,No,Rural,Yes,7.0,65.0,Female,Head of Household,Widowed,Primary education,Farming and Fishing
174,Kenya,2018,No,Rural,Yes,5.0,48.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
175,Kenya,2018,No,Urban,Yes,2.0,65.0,Female,Head of Household,Widowed,Primary education,Remittance Dependent
176,Kenya,2018,No,Rural,Yes,7.0,55.0,Female,Head of Household,Widowed,Primary education,Informally employed
177,Kenya,2018,No,Rural,Yes,5.0,31.0,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
178,Kenya,2018,No,Rural,No,2.0,55.0,Female,Head of Household,Widowed,No formal education,Remittance Dependent
179,Kenya,2018,No,Urban,Yes,6.0,44.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
180,Kenya,2018,No,Rural,Yes,3.0,72.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
181,Kenya,2018,No,Urban,No,3.0,18.0,Female,Child,Single/Never Married,Secondary education,Informally employed
182,Kenya,2018,No,Rural,Yes,4.0,26.0,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
183,Kenya,2018,No,Rural,Yes,1.0,53.0,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
184,Kenya,2018,No,Rural,Yes,3.0,28.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
185,Kenya,2018,No,Urban,Yes,8.0,34.0,Female,Head of Household,Married/Living together,Tertiary education,Informally employed
186,Kenya,2018,No,Rural,Yes,4.0,55.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
187,Kenya,2018,No,Urban,Yes,2.0,48.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
188,Kenya,2018,No,Rural,Yes,2.0,50.0,Female,Spouse,Married/Living together,Primary education,Informally employed
189,Kenya,2018,Yes,Rural,Yes,7.0,65.0,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
190,Kenya,2018,Yes,Urban,Yes,3.0,53.0,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
191,Kenya,2018,No,Rural,Yes,5.0,45.0,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
192,Kenya,2018,No,Urban,Yes,2.0,29.0,Female,Head of Household,Single/Never Married,Primary education,Informally employed
193,Kenya,2018,Yes,Urban,Yes,3.0,36.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
194,Kenya,2018,No,Rural,No,9.0,18.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
195,Kenya,2018,No,Rural,No,5.0,18.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
196,Kenya,2018,Yes,Urban,Yes,7.0,33.0,Female,Head of Household,Married/Living together,Primary education,Self employed
197,Kenya,2018,No,Urban,Yes,4.0,25.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
198,Kenya,2018,Yes,Urban,Yes,2.0,30.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
199,Kenya,2018,Yes,Urban,Yes,5.0,48.0,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
200,Kenya,2018,Yes,Rural,Yes,2.0,80.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
201,Kenya,2018,No,Urban,Yes,6.0,42.0,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
202,Kenya,2018,No,Rural,Yes,5.0,69.0,Female,Head of Household,Married/Living together,No formal education,Self employed
203,Kenya,2018,No,Urban,Yes,3.0,23.0,Female,Spouse,Married/Living together,Secondary education,Self employed
204,Kenya,2018,No,Rural,Yes,2.0,67.0,Female,Head of Household,Widowed,Primary education,Informally employed
205,Kenya,2018,No,Rural,Yes,2.0,58.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
206,Kenya,2018,No,Rural,Yes,6.0,27.0,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
207,Kenya,2018,Yes,Rural,Yes,1.0,42.0,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
208,Kenya,2018,No,Rural,No,5.0,80.0,Female,Head of Household,Widowed,No formal education,Government Dependent
209,Kenya,2018,No,Rural,No,3.0,84.0,Female,Parent,Widowed,No formal education,Informally employed
210,Kenya,2018,No,Rural,Yes,4.0,26.0,Female,Other relative,Single/Never Married,Secondary education,Informally employed
211,Kenya,2018,No,Urban,Yes,3.0,38.0,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
212,Kenya,2018,No,Urban,Yes,1.0,64.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
214,Kenya,2018,No,Urban,No,4.0,49.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
215,Kenya,2018,No,Rural,No,5.0,33.0,Female,Head of Household,Widowed,No formal education,Self employed
216,Kenya,2018,No,Urban,Yes,4.0,35.0,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
217,Kenya,2018,Yes,Urban,Yes,1.0,28.0,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
218,Kenya,2018,No,Urban,Yes,4.0,38.0,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
219,Kenya,2018,No,Rural,Yes,3.0,29.0,Male,Head of Household,Married/Living together,No formal education,Self employed
220,Kenya,2018,No,Rural,Yes,5.0,26.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
221,Kenya,2018,No,Rural,No,1.0,17.0,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
222,Kenya,2018,No,Rural,Yes,4.0,36.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
223,Kenya,2018,Yes,Urban,Yes,3.0,28.0,Female,Spouse,Married/Living together,Secondary education,Self employed
224,Kenya,2018,No,Urban,No,5.0,22.0,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer
225,Kenya,2018,No,Urban,Yes,1.0,65.0,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
226,Kenya,2018,No,Urban,No,1.0,54.0,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
227,Kenya,2018,Yes,Rural,Yes,4.0,66.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
228,Kenya,2018,No,Urban,Yes,3.0,54.0,Female,Spouse,Married/Living together,Primary education,Informally employed
230,Kenya,2018,No,Rural,Yes,5.0,44.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
231,Kenya,2018,No,Urban,Yes,7.0,22.0,Male,Child,Single/Never Married,Secondary education,Informally employed
232,Kenya,2018,Yes,Rural,Yes,3.0,53.0,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing
233,Kenya,2018,No,Rural,Yes,7.0,28.0,Male,Child,Married/Living together,Primary education,Informally employed
234,Kenya,2018,No,Rural,Yes,8.0,42.0,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
235,Kenya,2018,No,Rural,Yes,5.0,24.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
236,Kenya,2018,Yes,Urban,Yes,3.0,40.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
237,Kenya,2018,No,Rural,Yes,4.0,33.0,Male,Head of Household,Married/Living together,Secondary education,Self employed
238,Kenya,2018,No,Rural,Yes,2.0,60.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
239,Kenya,2018,No,Rural,Yes,2.0,40.0,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
240,Kenya,2018,No,Rural,No,3.0,17.0,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
241,Kenya,2018,No,Rural,Yes,7.0,30.0,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
242,Kenya,2018,No,Urban,No,2.0,16.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
243,Kenya,2018,No,Rural,No,4.0,19.0,Male,Child,Single/Never Married,No formal education,Farming and Fishing
244,Kenya,2018,Yes,Rural,Yes,1.0,54.0,Female,Head of Household,Widowed,Secondary education,Self employed
245,Kenya,2018,Yes,Rural,Yes,1.0,33.0,Male,Head of Household,Single/Never Married,Tertiary education,Farming and Fishing
246,Kenya,2018,No,Urban,Yes,3.0,29.0,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
